Name,Brand,Coffee_Tea,Brew_Type,Tea_Type,Coffee_Type,Steeping_Time_Min,Steeping_Time_Max,Water_Temp_Min_C,Water_Temp_Max_C,Water_Temp_Min_F,Water_Temp_Max_F,Weight_Oz,Weight_g,Opened,Ingredients
Summer Pie,Dollar Tea Club,Tea,Loose Leaf,Fruit,N/A,3,5,100,,212,,0.28,8,FALSE,"Elderberries, currants, hibiscus petals, natural flavors"
Sweet Lychee,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,4,5,100,,212,,0.28,8,TRUE,"Black Tea, Natural flavors"
Sweetie Pie Chai,Piper & Leaf,Tea,Tea Bags,Herbal,N/A,7,,100,,,,,,TRUE,"sweet potato, cinnamon, tulsi, ginger, licorice root, clove, natural flavor, cassia oil"
Tarzan & Jane,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black tea, papaya, apricot pieces, blackberry, lime leaves, calendula petals, sunflower petals, natural flavors"
The Original,PG tips,Tea,Tea Bags,Black,N/A,2,3,100,,,,,116,TRUE,
Throat Comfort,Yogi,Tea,Tea Bags,Herbal,N/A,,,,,,,,,TRUE,"Wild Cherry Bark, Licorice Root, Fennel seed, cinnamon bark, orange peel, slippery elm bark, cardamom pod, ginger root, mullein leaf, clove bud, black pepper"
Tunisian Lemon Mint,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,3,5,100,,212,,0.28,8,FALSE,"Rooibos, Lemon Pieces, Peppermint leaves"
Tunisian Lemon Mint,Dollar Tea Club,Tea,Loose Leaf,Rooibos,N/A,3,5,100,,212,,0.28,8,TRUE,"Rooibos, Lemon Pieces, Peppermint leaves"
Uncle Iroh,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,3,80,,176,,1.76,50,TRUE,"Green tea, jasmine petals, natural flavors"
Walnut Truffle,Dollar Tea Club,Tea,Loose Leaf,Green,N/A,2,4,80,,176,,0.28,8,FALSE,"Green tea, almonds, chocolate chips, walnuts, safflowers, rose petals, natural flavors, artificial flavors"
White Apricot,Dollar Tea Club,Tea,Loose Leaf,White,N/A,2,3,80,,176,,0.28,8,FALSE,"White tea, apple pieces, hibiscus petals, rosehip pieces, orange pieces, calendula petals, natural flavors"
Wild Black Currant,Dollar Tea Club,Tea,Loose Leaf,Black,N/A,2,3,100,,212,,0.28,8,FALSE,"Black tea, currants, black leaves, mallow, cornflower, sunflower petals, natural flavors"
